"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.963666640E-3,-2.314808889E-1,3.595186856E-1,-2.854797792E-1,5.141359661E-1
8.090333431E-3,-2.352565822E-1,3.149438989E-1,-8.363740325E-1,9.241519578E-1
1.814333338E-2,-1.691921085E-1,2.387137485E-1,-8.876576221E-1,9.346369762E-1
2.819633333E-2,-2.410076112E-3,1.871649876E-1,-7.454884207E-1,7.686283409E-1
3.824933339E-2,2.069424637E-1,1.585893524E-1,-7.000298274E-1,7.470057062E-1
4.830233334E-2,2.318668782E-1,9.940792859E-2,-6.261946964E-1,6.751029427E-1
5.835533340E-2,-8.741345472E-1,1.386553171E-1,-3.474930096E-1,9.508353671E-1
6.840833335E-2,-1.077677220E0,6.639074832E-1,-9.393049085E-1,1.576215420E0
7.846133341E-2,-5.952423873E-1,1.152520996E0,-1.663673771E0,2.109603888E0
8.851533337E-2,-6.767844408E-1,1.098639196E0,-1.609715080E0,2.063062748E0
9.856833343E-2,-7.100721279E-1,8.907420284E-1,-1.242024034E0,1.685303382E0
1.086213334E-1,-4.249079521E-1,8.874462453E-1,-9.554736292E-1,1.371509191E0
1.186743333E-1,-7.188990846E-2,9.523798674E-1,-6.642097843E-1,1.163344407E0
1.287273334E-1,5.290078327E-2,8.795849562E-1,-4.498941278E-1,9.893800656E-1
1.387803333E-1,1.897229983E-1,6.958832744E-1,-4.421044672E-1,8.459933259E-1
1.488333334E-1,4.162779003E-1,5.846478903E-1,-5.953529727E-1,9.324942939E-1
1.588863333E-1,5.464072461E-1,5.047907120E-1,-9.835116130E-1,1.233154343E0
1.689403334E-1,8.098726970E-1,4.190097195E-1,-1.605680501E0,1.846529936E0
1.789933334E-1,1.129268958E0,2.610796407E-1,-2.078651251E0,2.379958399E0
1.890463334E-1,1.355628563E0,4.842839420E-2,-2.000006200E0,2.416629660E0
1.990993334E-1,1.550892822E0,-1.141703939E-1,-1.409114653E0,2.098548910E0
2.091523333E-1,1.832871434E0,-2.897467849E-1,-6.260812604E-1,1.958404616E0
2.192053334E-1,2.036532879E0,-4.546426517E-1,1.528181505E-1,2.092252254E0
2.292583333E-1,1.745032807E0,-7.532660946E-1,1.018269217E0,2.156251726E0
2.393123334E-1,1.524715568E0,-1.552392486E0,1.291804304E0,2.530501602E0
2.493653334E-1,2.182020375E0,-1.979261448E0,1.219659603E0,3.188457048E0
2.594183334E-1,2.989762639E0,-2.588125582E0,1.502697001E0,4.230268661E0
2.694713334E-1,2.457270159E0,-4.088862304E0,2.280018248E0,5.287291819E0
2.795243334E-1,2.155016764E0,-5.558550310E0,3.636081698E0,6.983027203E0
2.895773334E-1,4.531704105E0,-4.695657400E0,4.444234729E0,7.895363376E0
2.996303333E-1,5.468576864E0,-3.233407930E0,2.622175089E0,6.872849624E0
3.096833334E-1,2.847847207E0,-1.714428772E0,7.586645365E-1,3.409555926E0
3.197373333E-1,-3.807271215E-1,-1.306519699E0,2.646174985E-1,1.386351069E0
3.297903334E-1,-5.158355176E-1,-1.243213357E0,2.903762376E-1,1.376947382E0
3.398433333E-1,5.581959638E-1,-7.753174067E-1,5.422684407E-1,1.098523954E0
3.498963334E-1,1.122419237E0,-5.945902035E-1,1.000788381E0,1.617077561E0
3.599493334E-1,1.943063383E0,-8.370537713E-1,1.156495056E0,2.411148096E0
3.700023334E-1,2.923675946E0,-9.412736660E-1,6.177349448E-1,3.132965626E0
3.800553334E-1,2.531297078E0,-8.572442070E-1,4.226355779E-1,2.705726032E0
3.901093333E-1,2.397542020E0,-1.583038328E0,1.096996129E-1,2.875109057E0
4.001623334E-1,2.643300202E0,-2.306004444E0,-1.052102376E0,3.662186759E0
4.102153333E-1,2.619238324E0,-3.026163311E0,-2.474139376E0,4.705256575E0
4.202683334E-1,2.095212027E0,-3.334632003E0,-4.136529683E0,5.711441311E0
4.303213333E-1,1.688922633E0,-2.777080695E0,-4.374923004E0,5.450191569E0
4.403743334E-1,1.548510812E0,-2.561853165E0,-3.054360339E0,4.276691999E0
4.504273334E-1,1.254681794E0,-1.965493887E0,-6.634268421E-1,2.424361317E0
4.604803334E-1,1.316479554E0,-1.179565246E0,1.520170820E-1,1.774148184E0
4.705333334E-1,2.775106090E0,-1.829296447E0,-9.924525905E-1,3.468789623E0
4.805873333E-1,3.264225387E0,-3.558664270E0,-2.283941145E0,5.341876629E0
4.906403334E-1,2.795841779E0,-3.818369523E0,-3.925717093E0,6.148815476E0
5.006933333E-1,2.750162453E0,-4.434159099E0,-4.179317853E0,6.685196942E0
5.107463334E-1,3.266178357E0,-4.637259211E0,-4.586669978E0,7.294493509E0
5.207993333E-1,2.986932587E0,-5.612988473E0,-4.046628742E0,7.536750629E0
5.308523334E-1,1.964809470E0,-4.922506564E0,-2.229810546E0,5.750095842E0
5.409053334E-1,9.668795004E-1,-4.013392291E0,-3.565140939E-1,4.143582502E0
5.509593334E-1,1.673338634E-1,-4.083022397E0,8.295965248E-1,4.169808498E0
5.610123334E-1,-2.648063636E-1,-4.031045328E0,1.725087077E0,4.392650028E0
5.710653333E-1,-5.712679991E-1,-3.987866564E0,1.727410176E0,4.383306146E0
5.811183334E-1,-9.097703299E-1,-3.934851029E0,9.989628804E-1,4.160367954E0
5.911713333E-1,-1.351495897E0,-3.925512733E0,-2.099068558E-1,4.156952281E0
6.012237084E-1,-2.062020892E0,-3.655434228E0,-1.456575918E0,4.442492876E0
6.112767084E-1,-2.912475312E0,-3.043820440E0,-2.453646639E0,4.875216626E0
6.213297084E-1,-3.655110584E0,-2.627440506E0,-2.839761677E0,5.322360696E0
6.313837083E-1,-4.347155161E0,-2.542172022E0,-2.625310366E0,5.679141758E0
6.414367084E-1,-4.982294344E0,-2.239769816E0,-1.785483552E0,5.746979839E0
6.514897083E-1,-5.245761110E0,-1.933348234E0,-7.006554794E-1,5.634426601E0
6.615427084E-1,-5.089800081E0,-1.887208732E0,3.684593707E-1,5.440899188E0
6.715957084E-1,-4.670131965E0,-1.936795168E0,1.561833401E0,5.291562309E0
6.816487084E-1,-4.257007468E0,-1.788821581E0,2.044888843E0,5.050105505E0
6.917017084E-1,-4.019408199E0,-1.519575281E0,1.810812521E0,4.663024050E0
