"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779249986E-3,-5.382975966E-2,1.877166724E-1,-2.935682327E-1,3.525868678E-1
1.183124993E-2,1.287439942E-1,3.319540340E-1,-4.759732944E-1,5.944064886E-1
2.188324998E-2,2.338748851E-1,3.367423189E-1,-5.289970154E-1,6.692762460E-1
3.193524992E-2,2.880370590E-1,2.171910247E-1,-4.563839525E-1,5.817418677E-1
4.198724998E-2,3.045136356E-1,3.600656927E-2,-4.192740136E-1,5.194378941E-1
5.203924992E-2,-2.907715094E-1,-8.652066529E-2,-3.599399775E-1,4.707341964E-1
6.209124997E-2,-3.352202886E-1,1.916755298E-1,-2.328700411E-1,4.509330401E-1
7.214324991E-2,-1.558680582E-1,2.460943964E-1,-6.546811616E-1,7.165645309E-1
8.219524997E-2,-1.543460280E-2,8.128214478E-2,-9.945622659E-1,9.979975525E-1
9.224724991E-2,1.524488989E-1,-4.659353793E-3,-1.073233629E0,1.084016973E0
1.022992500E-1,3.104967991E-1,-1.217127174E-1,-9.836443448E-1,1.038642597E0
1.123522499E-1,3.573654485E-1,-2.471258453E-1,-8.449115521E-1,9.500825111E-1
1.224042500E-1,3.521248814E-1,-3.498052910E-1,-7.752565956E-1,9.205316197E-1
1.324562499E-1,3.408672372E-1,-3.915748760E-1,-7.163850743E-1,8.847196909E-1
1.425082500E-1,2.754535586E-1,-4.227797118E-1,-6.829302299E-1,8.491236933E-1
1.525602499E-1,1.821065614E-1,-4.131554872E-1,-6.387223560E-1,7.821933931E-1
1.626122500E-1,1.205184236E-1,-4.449008980E-1,-7.476717710E-1,8.783362549E-1
1.726642500E-1,6.598378211E-2,-5.306286809E-1,-9.142542672E-1,1.059141880E0
1.827162500E-1,-1.420376390E-2,-5.730072534E-1,-9.910445809E-1,1.144861747E0
1.927682500E-1,-3.590628952E-2,-5.557375020E-1,-1.047049212E0,1.185936544E0
2.028202499E-1,6.148142606E-2,-6.085068691E-1,-1.199025949E0,1.346002898E0
2.128722500E-1,6.137237549E-2,-5.207109261E-1,-1.497450294E0,1.586588737E0
2.229242499E-1,-7.413772434E-2,-4.046036419E-1,-1.599763119E0,1.651799790E0
