"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.751166675E-3,1.247301731E-1,-5.984011263E-1,-1.914694154E-1,6.405482504E-1
1.779916667E-2,-5.084516537E-1,-9.602651301E-1,-4.755587268E-1,1.186081071E0
2.784816668E-2,-7.475022018E-1,-1.043989949E0,-5.248098242E-1,1.387119284E0
3.789616667E-2,-4.905287683E-1,-7.436719832E-1,-4.852510715E-1,1.014462958E0
4.794416667E-2,-4.492503494E-2,-2.780774966E-1,-4.650407553E-1,5.436986821E-1
5.799316667E-2,7.062185204E-1,2.642327517E-1,-5.211383575E-1,9.165962761E-1
6.804116667E-2,1.667280626E0,8.620985654E-1,-6.091828072E-1,1.973358131E0
7.808916667E-2,2.329806705E0,1.359324735E0,-7.454872513E-1,2.798484278E0
8.813816667E-2,2.511515363E0,1.570156327E0,-8.183260167E-1,3.072907057E0
9.818616667E-2,2.223396150E0,1.492201248E0,-8.946438754E-1,2.823214953E0
1.082341667E-1,1.696716387E0,1.279681857E0,-1.124531837E0,2.404371852E0
1.182821667E-1,1.200707608E0,1.075132512E0,-1.471779848E0,2.182600421E0
1.283311667E-1,8.625204420E-1,8.918594313E-1,-1.768482188E0,2.160297203E0
1.383794167E-1,5.878895867E-1,7.552871847E-1,-2.030029314E0,2.244346656E0
1.484274167E-1,4.164816758E-1,7.342994812E-1,-2.160204706E0,2.319296679E0
1.584764167E-1,4.621687491E-1,8.455632243E-1,-2.132587137E0,2.340193372E0
1.685244167E-1,5.885238634E-1,1.102262716E0,-1.956719263E0,2.321657534E0
1.785724167E-1,8.562541272E-1,1.441347722E0,-1.604408147E0,2.320512850E0
1.886214167E-1,1.064916842E0,1.684820811E0,-1.165445389E0,2.308881114E0
1.986694167E-1,9.713852187E-1,1.724232506E0,-6.816795105E-1,2.093144509E0
2.087174167E-1,5.018020539E-1,1.605956198E0,-2.287927777E-1,1.698012587E0
2.187654167E-1,-3.357178867E-3,1.409792053E0,1.288521677E-1,1.415672202E0
2.288144167E-1,-3.136621892E-1,1.303111065E0,3.004123986E-1,1.373582916E0
2.388624167E-1,-4.856972140E-1,1.366915882E0,4.896487623E-1,1.531050856E0
2.489104167E-1,-2.942064562E-1,1.738100348E0,7.135684705E-1,1.901770286E0
2.589594167E-1,2.304118717E-1,2.184429428E0,8.745206827E-1,2.364235179E0
2.690074167E-1,8.096268216E-1,2.393792785E0,1.113723258E0,2.761542863E0
2.790554167E-1,1.134630270E0,2.287578113E0,1.487220590E0,2.955033766E0
2.891044167E-1,1.157076269E0,2.201733094E0,1.744089358E0,3.037812008E0
2.991524167E-1,9.717552012E-1,1.965768267E0,1.916830142E0,2.912523106E0
3.092004167E-1,9.770419613E-1,1.648197799E0,1.946379631E0,2.731219626E0
3.192484167E-1,9.644993913E-1,1.365245187E0,1.868993486E0,2.507446938E0
3.292974167E-1,8.262554258E-1,1.456761274E0,1.204584312E0,2.062977170E0
3.393454167E-1,5.406595793E-1,1.254581075E0,7.080960613E-1,1.538728855E0
3.493934167E-1,3.348960605E-1,7.176069961E-1,1.239364720E0,1.470761735E0
3.594424167E-1,-9.105605811E-2,1.227932244E0,2.141242186E0,2.470025688E0
3.694904167E-1,1.862630546E-1,1.369132269E0,2.123476591E0,2.533450202E0
3.795384167E-1,4.008643475E-1,1.781792790E0,2.099122937E0,2.782408107E0
3.895874167E-1,3.161881864E-1,2.172104813E0,2.358209555E0,3.221671397E0
3.996354167E-1,6.940130424E-1,1.753935485E0,2.334772160E0,3.001517088E0
4.096834167E-1,1.351738265E0,9.132396291E-1,1.673122872E0,2.336780499E0
4.197314167E-1,1.298430954E0,3.141031424E-1,1.131060838E0,1.750394911E0
4.297804167E-1,1.121320546E-1,2.289251075E-1,9.970952797E-1,1.029164369E0
4.398284167E-1,-1.371595409E0,5.919881194E-1,9.321508402E-1,1.760860326E0
4.498764167E-1,-2.273365286E0,8.461437797E-1,6.518932092E-1,2.511794931E0
4.599254167E-1,-2.299532161E0,9.349733642E-1,4.792255157E-1,2.528177297E0
4.699734167E-1,-1.436643929E0,1.310013557E0,6.648371905E-1,2.054772442E0
4.800214167E-1,-2.556461155E-1,1.535403109E0,1.167345150E0,1.945639314E0
4.900704167E-1,1.320352750E0,1.314833709E0,1.989318659E0,2.725712346E0
5.001184167E-1,2.622973818E0,1.140380422E0,5.191380835E0,5.927132033E0
5.101664167E-1,3.777010705E0,1.506394780E0,6.559590122E0,7.717723606E0
5.202144167E-1,4.332672193E0,1.081848405E0,6.210826512E0,7.649628113E0
5.302634167E-1,4.147578582E0,4.419413298E-2,6.675613498E0,7.859273299E0
5.403114167E-1,4.047587101E0,-8.669587710E-1,6.176648952E0,7.435426761E0
5.503594167E-1,3.724099835E0,-1.736680936E0,5.523478126E0,6.884314843E0
5.604084167E-1,3.712811785E0,-2.410340260E0,4.762341387E0,6.501892571E0
5.704564167E-1,4.338287274E0,-2.644711719E0,3.720668104E0,6.297508054E0
5.805044167E-1,5.150699417E0,-2.628916636E0,2.797572262E0,6.423964331E0
5.905524167E-1,5.111126631E0,-2.190247554E0,1.856839464E0,5.862478365E0
6.006014167E-1,4.316777707E0,-1.533873623E0,1.483619875E0,4.815440374E0
6.106494167E-1,3.490073799E0,-1.516891701E0,2.267489419E0,4.429795009E0
6.206974167E-1,1.665009860E0,-1.602645066E0,3.379356186E0,4.093992828E0
6.307464167E-1,1.048974116E0,2.324085496E-1,1.629229578E0,1.951601764E0
6.407944167E-1,2.645673294E0,3.081911834E0,8.751077431E-1,4.154946606E0
6.508424167E-1,3.714296101E0,2.425823248E0,2.036063640E0,4.881205702E0
6.608914167E-1,3.900188735E0,7.546489611E-1,1.973299627E0,4.435637343E0
6.709394167E-1,3.780763740E0,-2.538334787E-1,2.637304759E-1,3.798441741E0
6.809874167E-1,2.835951339E0,-5.009047987E-1,-8.568948358E-1,3.004628825E0
6.910354167E-1,-3.634401208E-1,1.789455566E-1,-1.518290355E0,1.571405688E0
7.010844167E-1,-5.403056474E0,4.586235823E-1,-1.652364671E-2,5.422511215E0
7.111324167E-1,-3.700158703E0,-5.214704794E-1,4.422290128E0,5.789624847E0
7.211804167E-1,-8.806965119E-1,-2.537604762E0,7.636801026E0,8.095418099E0
7.312294167E-1,-1.554846855E0,-3.593264292E0,7.473243295E0,8.436732920E0
7.412774167E-1,-1.001235255E0,-4.259419152E0,3.923273542E0,5.876835784E0
7.513254167E-1,-8.687651221E-1,-4.919375380E0,1.734021038E-1,4.998507303E0
7.613734167E-1,-1.868886482E0,-4.787652229E0,-1.515093682E0,5.358158211E0
7.714224167E-1,-2.509833119E0,-4.390287440E0,-2.145685485E0,5.493437202E0
7.814704167E-1,-2.329824977E0,-4.443562299E0,-2.339647568E0,5.535998652E0
7.915184167E-1,-2.156987861E0,-4.799815022E0,-2.213746490E0,5.708896076E0
8.015674167E-1,-2.353005240E0,-5.295527932E0,-2.122928706E0,6.171391742E0
8.116154167E-1,-2.662274709E0,-5.822297158E0,-2.306716050E0,6.804982716E0
8.216634167E-1,-3.141716864E0,-6.115460179E0,-2.817360994E0,7.430125236E0
8.317124167E-1,-3.366096455E0,-6.078633245E0,-3.114460360E0,7.614476398E0
8.417604167E-1,-3.238204401E0,-5.856502200E0,-3.651520101E0,7.623528370E0
8.518084167E-1,-3.212590965E0,-5.586100636E0,-4.101953927E0,7.638801414E0
8.618564167E-1,-2.596024001E0,-5.375506148E0,-4.457056503E0,7.449883196E0
8.719054167E-1,-2.583234971E0,-5.300999756E0,-4.972509028E0,7.713594971E0
8.819534167E-1,-3.138600006E0,-5.338635945E0,-5.265976104E0,8.129104998E0
