"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.251375009E-3,-5.494818583E-1,-3.818953952E-1,-5.813424593E-1,8.864160764E-1
1.429937501E-2,-3.495211163E-1,-1.944555885E-1,-2.060523713E-1,4.499284013E-1
2.434629167E-2,-3.528724480E-1,-9.226350814E-2,6.909771681E-2,3.712223241E-1
3.439429167E-2,-5.269034198E-1,-2.836659729E-2,2.864089018E-1,6.003848238E-1
4.444129167E-2,-5.755355895E-1,2.677147686E-3,6.364460349E-1,8.580862062E-1
5.448929167E-2,-5.991878691E-1,4.227829278E-3,8.543705928E-1,1.043548316E0
6.453629167E-2,-6.030812377E-1,-3.188779056E-3,6.360858464E-1,8.765399886E-1
7.458429167E-2,-5.420570639E-1,1.859326869E-2,1.549699259E-1,5.640808879E-1
8.463129167E-2,-4.860746518E-1,7.126586437E-2,-2.820597428E-1,5.664848533E-1
9.467929167E-2,-3.974975207E-1,1.991634741E-1,-5.072874731E-1,6.745449939E-1
1.047272917E-1,-3.960515043E-1,3.389443803E-1,-5.049474174E-1,7.257492551E-1
1.147742917E-1,-4.156712517E-1,4.696834445E-1,-3.856034070E-1,7.362575059E-1
1.248222917E-1,-4.331149578E-1,5.452508131E-1,-2.399486804E-1,7.365204580E-1
1.348692917E-1,-4.556249839E-1,5.458878672E-1,-2.061699003E-1,7.403335176E-1
1.449172917E-1,-4.643991695E-1,5.095395282E-1,-2.371735919E-1,7.290736809E-1
1.549642917E-1,-4.326227684E-1,4.717977977E-1,-2.776363242E-1,6.977374507E-1
1.650122917E-1,-3.165279096E-1,4.718147546E-1,-3.077746278E-1,6.461612042E-1
1.750592917E-1,-1.087777993E-1,5.246604279E-1,-3.531496060E-1,6.417287732E-1
1.851072917E-1,-2.899137229E-2,5.656333297E-1,-4.476166373E-1,7.219018059E-1
1.951542917E-1,-1.408418834E-2,5.565666372E-1,-5.558199477E-1,7.867023581E-1
2.052022917E-1,-2.956659213E-2,5.738542226E-1,-6.049476689E-1,8.343527637E-1
2.152502917E-1,-8.690117285E-2,5.586476612E-1,-4.704634631E-1,7.355099546E-1
