"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.244583780E-4,-9.846236072E-1,-3.602399397E-1,-1.916337807E0,2.184400845E0
1.097745844E-2,-1.130279065E0,-5.100058436E-1,-2.129748314E0,2.464440019E0
2.103045839E-2,-1.333449636E0,-5.656000006E-1,-2.374919143E0,2.781767824E0
3.108345834E-2,-1.492603391E0,-4.956763646E-1,-2.485361352E0,2.941187004E0
4.113645840E-2,-1.393674057E0,-3.736999378E-1,-2.582140957E0,2.957943702E0
5.118945835E-2,-1.003532479E0,-3.159127825E-1,-3.239567387E0,3.406123188E0
6.124245841E-2,-5.400403592E-1,-3.090993145E-1,-3.724044287E0,3.775671043E0
7.129545836E-2,1.290944617E-2,-4.530589333E-1,-3.065750715E0,3.099073490E0
8.134845842E-2,-5.007207941E-1,-2.800518090E-1,-1.002587569E0,1.155132964E0
9.140145837E-2,4.692676709E-1,-1.768192458E0,-5.125335950E-1,1.899844047E0
1.014544584E-1,3.774578556E0,-2.495028261E0,1.192516243E-1,4.526237979E0
1.115074584E-1,9.693120883E-1,-2.593640384E0,-3.836404967E-1,2.795302559E0
1.215604584E-1,-1.277078969E0,-7.580333295E-1,-1.617680742E0,2.196004600E0
1.316134584E-1,-8.932177395E-1,-5.225244400E-1,-2.907074239E0,3.085765764E0
1.416664583E-1,-9.892051931E-1,-1.431845411E0,-3.424063413E0,3.840952805E0
1.517194584E-1,-3.576575754E0,-2.839718408E0,-4.270926180E0,6.252735817E0
1.617714583E-1,-4.821231034E0,-3.042690466E0,-3.555818723E0,6.719083327E0
1.718244584E-1,-3.817205050E0,-2.356618966E0,-1.882117562E0,4.864881690E0
1.818774584E-1,-3.111138265E0,-2.440930991E0,-9.326063383E-1,4.062890595E0
1.919304584E-1,-2.572947965E0,-2.343535236E0,-6.583842033E-1,3.541989327E0
2.019834584E-1,-2.093212133E0,-1.934939992E0,-6.607681131E-1,2.926114199E0
2.120364584E-1,-2.261074585E0,-1.751355401E0,-1.177014690E0,3.092744348E0
2.220894584E-1,-2.497401061E0,-1.694606127E0,-2.070608990E0,3.660071526E0
2.321424584E-1,-2.586236639E0,-1.789149026E0,-2.956953912E0,4.316624912E0
2.421954584E-1,-2.382468921E0,-2.005589560E0,-3.931385969E0,5.015410580E0
2.522484584E-1,-1.951793130E0,-2.234697503E0,-4.931613017E0,5.755360658E0
2.623014584E-1,-1.910707376E0,-2.927752917E0,-6.331948661E0,7.232987879E0
2.723544583E-1,-1.895237106E0,-3.237186985E0,-7.861707745E0,8.710783657E0
2.824074584E-1,-1.653665092E0,-3.056019486E0,-8.163119432E0,8.871887184E0
2.924604584E-1,-1.340585285E0,-3.023454004E0,-6.933157620E0,7.681609050E0
3.025134584E-1,-5.708759798E-1,-3.107263023E0,-4.613746095E0,5.591747125E0
3.125664584E-1,9.169693122E-2,-3.342913415E0,-1.958559966E0,3.875491655E0
3.226194584E-1,1.619088898E-1,-3.496757167E0,7.383162260E-2,3.501282091E0
3.326724584E-1,3.016182406E-1,-3.598901885E0,8.404682529E-1,3.708025785E0
3.427254584E-1,6.779987613E-1,-4.310537266E0,6.758229393E-1,4.415557777E0
3.527784584E-1,1.752806972E0,-4.243213302E0,1.480322630E0,4.823748179E0
3.628314584E-1,1.463443034E0,-3.067662462E0,2.154475604E0,4.024174900E0
3.728844584E-1,1.716964564E0,-2.320165962E0,1.668855574E0,3.334099028E0
3.829374583E-1,2.805903375E0,-2.969758145E0,1.441574886E0,4.332516052E0
3.929894584E-1,3.632599389E0,-3.542847260E0,8.952847302E-1,5.152579914E0
4.030424583E-1,4.219119557E0,-3.367624918E0,2.368391311E-1,5.403513690E0
4.130954584E-1,4.533213856E0,-3.136412270E0,-7.223123968E-2,5.512923647E0
4.231484584E-1,4.959288474E0,-2.799898577E0,1.455983595E0,5.878253349E0
4.332014584E-1,4.110049982E0,-2.273422296E0,3.444003003E0,5.824269609E0
4.432544584E-1,2.911473684E0,-1.556480860E0,4.549520863E0,5.621161069E0
4.533074584E-1,2.306673658E0,-1.204590744E0,5.194673987E0,5.810027543E0
4.633604584E-1,1.969583429E0,-1.664661950E0,5.188675328E0,5.794196231E0
4.734134584E-1,2.230582671E0,-1.721726097E0,4.391636685E0,5.217883918E0
4.834664584E-1,2.838568553E0,-1.486739364E0,3.332883101E0,4.623415959E0
4.935194583E-1,3.707991633E0,-1.134279730E0,2.190699690E0,4.453645427E0
5.035724584E-1,4.547255360E0,-1.087166959E0,1.333495536E0,4.861859073E0
5.136254583E-1,5.071935668E0,-1.108614546E0,7.191654253E-1,5.241255245E0
5.236784584E-1,5.090520458E0,-1.252036221E0,4.250276738E-1,5.259433597E0
5.337314584E-1,4.919992261E0,-1.105549436E0,8.796773422E-1,5.118827564E0
5.437844584E-1,4.395016668E0,-7.028540325E-1,1.477695476E0,4.689750444E0
5.538374584E-1,3.876273623E0,-5.300296336E-1,1.961733835E0,4.376622927E0
5.638904584E-1,3.509076666E0,-4.869420862E-1,2.457354943E0,4.311533945E0
5.739434584E-1,3.100265952E0,-5.440670443E-1,2.699247823E0,4.146516216E0
5.839964584E-1,2.914267484E0,-4.249762183E-1,2.776242204E0,4.047354757E0
5.940494584E-1,2.899137813E0,-2.389072913E-1,2.850713512E0,4.072915944E0
6.041024583E-1,2.835142377E0,-5.560000420E-2,2.986143798E0,4.118030893E0
6.141544584E-1,2.884847803E0,1.303320980E-1,2.849106113E0,4.056690639E0
6.242074583E-1,2.899632488E0,1.649639869E-1,2.589866883E0,3.891335523E0
6.342604584E-1,2.828842587E0,-2.801985741E-3,2.204334227E0,3.586286048E0
6.443134584E-1,2.832133985E0,-2.997972715E-1,1.727522442E0,3.330945076E0
6.543664584E-1,2.566788508E0,-5.952179021E-1,1.623210454E0,3.094753588E0
6.644194584E-1,1.944897362E0,-7.339372462E-1,2.314411570E0,3.110914744E0
6.744724584E-1,1.176695432E0,-5.524531209E-1,3.096597117E0,3.358382095E0
6.845254584E-1,4.727894855E-1,-2.486750650E-1,3.519931729E0,3.560237150E0
6.945784584E-1,-1.255309492E-1,9.877116680E-3,3.952332450E0,3.954337791E0
7.046314584E-1,-3.698352206E-1,9.548561633E-2,3.798486651E0,3.817642785E0
7.146844583E-1,-3.006047720E-1,1.388848203E-1,3.265850036E0,3.282594809E0
7.247374584E-1,3.671525180E-2,7.218797028E-2,2.581853274E0,2.583123195E0
7.347904583E-1,3.775055981E-1,9.178374410E-2,2.068606904E0,2.104772970E0
7.448434584E-1,4.927454478E-1,1.149960208E-1,1.498059281E0,1.581203267E0
7.548964584E-1,6.656634021E-1,2.124761224E-2,9.511636466E-1,1.161150941E0
7.649494584E-1,1.177097136E0,1.438888675E-1,1.935858151E-1,1.201556133E0
7.750024584E-1,1.542769139E0,3.074430907E-1,-6.700134382E-1,1.709846741E0
7.850554584E-1,2.013551275E0,2.607103890E-1,-1.220649829E0,2.369038761E0
7.951084584E-1,2.466578341E0,3.136119032E-1,-1.557068212E0,2.933738665E0
8.051614584E-1,2.602039617E0,4.601612538E-1,-1.492093367E0,3.034584183E0
8.152147917E-1,2.789563331E0,9.611553687E-1,-9.514479674E-1,3.100118781E0
8.252677917E-1,2.679935054E0,1.773892032E0,-1.419986089E-1,3.216971937E0
8.353207917E-1,2.308792981E0,2.381399612E0,6.712068549E-1,3.384096302E0
8.453727918E-1,1.963228968E0,3.092036873E0,2.035342532E0,4.190176515E0
8.554257917E-1,2.016028156E0,3.597029899E0,1.658346227E0,4.444446627E0
8.654787918E-1,1.731095676E0,3.667796411E0,1.676864505E0,4.388769454E0
8.755317917E-1,1.631957304E0,3.557748889E0,2.142077753E0,4.461990464E0
8.855847918E-1,1.635679641E0,3.590880967E0,1.140299438E0,4.107329645E0
8.956377917E-1,5.902612174E-1,3.381225541E0,1.834101396E0,3.891660622E0
9.056907917E-1,-6.868028408E-1,3.235876624E0,2.785363861E0,4.324447653E0
9.157437917E-1,-2.714972740E0,2.939590021E0,3.771358202E0,5.498673399E0
9.257967917E-1,-4.664498173E0,2.813472011E0,4.308721998E0,6.945376391E0
9.358497917E-1,-5.084096122E0,2.643766517E0,4.094277703E0,7.042772514E0
9.459027917E-1,-4.140597006E0,2.263575293E0,4.418203509E0,6.464428739E0
9.559557918E-1,-2.442580783E0,2.530864384E0,5.150747364E0,6.237120636E0
9.660087917E-1,-5.340332222E-1,3.771959295E0,5.542607877E0,6.725575848E0
9.760617918E-1,5.304997498E-1,3.567031344E0,3.616232155E0,5.107081122E0
9.861147917E-1,1.458627121E0,2.293119519E0,1.896117550E-1,2.724324288E0
9.961677918E-1,1.278567962E0,-5.311756879E-1,-1.142187650E0,1.794847145E0
1.006220792E0,1.814940071E0,-6.854603201E-1,-2.123946268E0,2.876631895E0
1.016273792E0,2.223137704E0,-5.988285577E-1,-1.996438083E0,3.047409049E0
1.026326792E0,2.294332817E0,-5.308535063E-1,-1.600155321E0,2.847150430E0
1.036379792E0,1.717363490E0,-6.914753509E-1,-2.883745018E0,3.426873334E0
1.046432792E0,5.415749609E-1,-5.096512100E-1,-3.951408589E0,4.020780725E0
1.056484792E0,-1.252238535E0,-7.462324789E-1,-3.751434399E0,4.024701767E0
1.066538792E0,-2.745151389E0,-5.473163420E-1,-2.384625813E0,3.677207037E0
1.076590792E0,-3.012863819E0,1.962021518E-1,7.017921782E-1,3.099734817E0
1.086643792E0,-3.174232353E0,9.736061373E-1,3.392791919E0,4.747072460E0
1.096696792E0,-2.946585630E0,1.715042730E0,2.630540700E0,4.306214441E0
1.106749792E0,-2.731446100E0,2.995585004E0,1.521166162E0,4.329927691E0
1.116802792E0,-2.369775932E0,7.869443026E-1,-1.912586233E0,3.145330730E0
1.126855792E0,-1.147604365E0,-2.040061674E0,-3.269248438E0,4.020800015E0
1.136908792E0,-2.840501350E-1,-2.766636691E0,-3.000695179E0,4.091348752E0
1.146961792E0,3.647189069E-1,-2.738951586E0,-1.978693245E0,3.398544193E0
1.157014792E0,9.851102418E-1,-2.057199278E0,-5.052386087E-1,2.336188586E0
1.167067792E0,1.067638428E0,-1.264827882E0,9.394779861E-1,1.903223653E0
1.177120792E0,4.435551614E-1,-5.266666076E-1,1.835908917E0,1.960785671E0
1.187173792E0,-8.249947661E-1,-1.540016270E-1,2.015227818E0,2.182997028E0
1.197226792E0,-2.470198937E0,2.672966927E-2,1.834089702E0,3.076764908E0
1.207279792E0,-4.061211113E0,5.556685048E-1,1.605653604E0,4.402309245E0
1.217332792E0,-5.646043367E0,7.931666172E-1,1.107202443E0,5.807995888E0
1.227385792E0,-6.299612389E0,7.756781799E-1,6.212292409E-1,6.377516653E0
1.237438792E0,-5.577813962E0,8.754790413E-1,1.585149612E0,5.864398643E0
1.247491792E0,-4.352299542E0,1.650931519E0,9.102457085E-1,4.743061609E0
1.257544792E0,-3.586062861E0,1.820312492E0,-1.867680494E0,4.434141951E0
1.267597792E0,-2.805652530E0,5.279679054E-1,-2.642822776E0,3.890366108E0
1.277650792E0,-2.482098021E0,-1.091532490E0,-2.969194181E0,4.020990904E0
