"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.536862500E-2,-2.590652749E-2,-4.620221302E-2,-6.565019846E-2,8.435485293E-2
2.534062497E-2,-8.816490233E-2,1.180333570E-2,-6.630917966E-2,1.109471768E-1
3.531262500E-2,-1.894176275E-2,6.020095892E-2,-3.104637623E-2,7.033365701E-2
4.528462497E-2,7.959127620E-2,4.266552463E-2,-1.331644893E-2,9.128223294E-2
5.525662500E-2,1.087919788E-1,2.312222958E-2,-4.932126403E-3,1.113312985E-1
6.522862497E-2,1.267607649E-1,2.900226273E-2,2.342570007E-2,1.321294296E-1
7.520062500E-2,1.838028386E-1,3.663324460E-2,8.739774764E-2,2.067942078E-1
8.517262497E-2,2.571770628E-1,7.771008074E-2,1.308834904E-1,2.988467606E-1
9.514462500E-2,2.302425948E-1,8.809415102E-2,7.101443410E-2,2.565448923E-1
1.051166250E-1,1.325131094E-1,2.249306917E-2,2.102074027E-2,1.360423973E-1
1.150886250E-1,4.901589319E-2,-4.432408735E-2,-3.173985600E-2,7.331167004E-2
1.250606250E-1,3.518386602E-2,-8.691951849E-2,-2.505356491E-2,9.705971480E-2
1.350326250E-1,1.183841899E-2,-1.346793567E-1,4.515804648E-2,1.425409641E-1
1.450046250E-1,1.328341216E-2,-1.350901967E-1,6.138056159E-2,1.489744395E-1
1.549766250E-1,6.539043590E-2,-1.439637849E-1,4.086326659E-2,1.633134625E-1
1.649486250E-1,1.148673820E-1,-9.728239261E-2,1.020163715E-2,1.508723062E-1
1.749204583E-1,2.038921174E-1,-2.991939850E-2,-1.825500727E-3,2.060837170E-1
1.848924583E-1,2.524960743E-1,2.035868928E-2,-2.618032336E-2,2.546647857E-1
1.948644583E-1,2.118475467E-1,6.321892619E-2,-6.421236813E-2,2.302156465E-1
2.048364583E-1,1.821191329E-1,1.262516917E-1,-8.046704292E-2,2.357579547E-1
2.148084583E-1,1.575657973E-1,1.596399508E-1,-1.181687200E-1,2.535266076E-1
2.247804583E-1,2.185320836E-1,1.559225104E-1,-1.118198133E-1,2.908122615E-1
2.347524583E-1,2.763682093E-1,1.385616155E-1,-1.374528372E-1,3.383370965E-1
2.447244583E-1,2.191803937E-1,1.175259648E-1,-1.877570182E-1,3.116169046E-1
2.546964583E-1,1.474897291E-1,1.207663456E-1,-1.381480712E-1,2.354200925E-1
2.646684583E-1,1.388573384E-1,1.513300341E-1,-6.496256590E-3,2.054856224E-1
2.746404583E-1,1.390960510E-1,1.312021637E-1,4.834010124E-2,1.972269874E-1
2.846124583E-1,1.655297050E-1,9.768424250E-2,6.787564874E-2,2.038366948E-1
2.945844583E-1,1.710841213E-1,5.659023017E-2,8.162829995E-2,1.978267173E-1
3.045564583E-1,1.633000155E-1,2.915575214E-2,2.987927198E-3,1.659092543E-1
3.145284583E-1,1.138654616E-1,1.136135928E-2,-1.462189829E-1,1.856728704E-1
3.245004583E-1,6.006859258E-2,-1.253504165E-2,-1.930446553E-1,2.025625879E-1
3.344714583E-1,1.517615587E-2,-7.304341793E-3,-1.660778815E-1,1.669297212E-1
3.444444583E-1,5.481077626E-2,3.974498659E-2,-6.100575507E-2,9.113499495E-2
3.544154583E-1,1.544815372E-1,5.517118402E-2,-3.569783628E-2,1.678771586E-1
3.643884583E-1,2.117972606E-1,3.773200952E-2,-1.483198875E-1,2.613055170E-1
3.743604583E-1,2.233957976E-1,1.376997359E-2,-2.956165123E-1,3.707889115E-1
3.843314583E-1,1.892388488E-1,2.512212351E-2,-4.020112789E-1,4.450343035E-1
3.943034583E-1,7.755483717E-2,-4.876358584E-3,-4.558465934E-1,4.624225863E-1
4.042754583E-1,-9.984968573E-2,-4.572215661E-2,-3.456394422E-1,3.626666505E-1
4.142474583E-1,-1.383676341E-1,-3.909755364E-2,-9.700413823E-2,1.734474667E-1
4.242194583E-1,-4.819260523E-2,-6.512906536E-2,5.590405941E-2,9.843569582E-2
4.341914583E-1,2.959568202E-2,-1.239340746E-1,1.991386235E-2,1.289655813E-1
4.441634583E-1,3.461376250E-2,-2.042819075E-1,-1.498226219E-1,2.556873644E-1
4.541354583E-1,-3.801538020E-2,-2.372009276E-1,-2.794548082E-1,3.685165383E-1
4.641074583E-1,-1.761483948E-1,-2.155511731E-1,-1.831605220E-1,3.332241618E-1
4.740794583E-1,-1.794231279E-1,-1.678077071E-1,1.120279741E-1,2.700043562E-1
4.840514583E-1,-7.063875049E-2,-2.003943130E-1,3.238801986E-1,3.873578408E-1
4.940234583E-1,-3.364195526E-2,-2.776503575E-1,3.177926624E-1,4.233363656E-1
5.039954583E-1,-8.059889764E-2,-3.102572094E-1,1.867764401E-1,3.710002114E-1
5.139674583E-1,-1.085417180E-1,-2.911849806E-1,3.922838509E-2,3.132233447E-1
5.239394583E-1,-1.699104390E-1,-2.749330102E-1,-1.433678806E-2,3.235170179E-1
5.339114583E-1,-2.228465979E-1,-2.618090077E-1,1.150328583E-1,3.625425785E-1
5.438834583E-1,-1.406302142E-1,-2.064245465E-1,3.070782244E-1,3.958345443E-1
5.538554583E-1,-5.003974065E-2,-1.767111162E-1,3.815846157E-1,4.234827189E-1
5.638274583E-1,-2.264305025E-2,-1.604392652E-1,2.679077268E-1,3.130942599E-1
5.737994583E-1,8.251883090E-4,-1.322371940E-1,1.069075674E-1,1.700487705E-1
5.837714583E-1,-2.502198994E-2,-8.739219278E-2,-4.499900222E-2,1.014317778E-1
5.937434583E-1,-5.165181801E-2,-6.039420940E-2,-1.398554581E-1,1.608568308E-1
6.037154583E-1,-5.603722975E-2,-1.573697694E-2,-7.068932891E-2,9.156857967E-2
6.136874583E-1,-1.058316797E-2,2.367172167E-2,2.783391595E-2,3.804051430E-2
6.236594583E-1,5.201551482E-2,5.000356100E-2,8.456126332E-2,1.111601419E-1
6.336314583E-1,8.465905800E-2,2.940944821E-2,5.051351130E-2,1.028770459E-1
6.436034583E-1,7.301637456E-2,2.877283260E-2,8.010685444E-4,7.848508496E-2
6.535754583E-1,4.696922153E-2,3.921690993E-2,2.462788761E-2,6.595912859E-2
6.635474583E-1,1.059639730E-1,7.617752552E-2,4.352374971E-2,1.375706936E-1
6.735194583E-1,1.523880878E-1,1.063449921E-1,8.090266049E-2,2.026736962E-1
6.834914583E-1,1.491323581E-1,1.435544068E-1,6.260146022E-2,2.162574178E-1
6.934634583E-1,1.175209947E-1,1.536012389E-1,3.354956925E-2,1.962908515E-1
7.034354583E-1,1.127023043E-1,1.916242205E-1,1.236452222E-2,2.226533913E-1
7.134074583E-1,8.547576785E-2,1.924800336E-1,1.802755058E-2,2.113756438E-1
7.233794583E-1,4.387122050E-2,1.764604899E-1,3.066806138E-2,1.844004297E-1
7.333514583E-1,2.669356272E-2,1.437521157E-1,4.331091106E-2,1.524895147E-1
7.433234583E-1,2.489305884E-2,1.353277398E-1,8.981907964E-2,1.643189843E-1
7.532954583E-1,1.544147328E-2,1.284625239E-1,1.434304458E-1,1.931666429E-1
7.632674583E-1,6.147616357E-3,1.525040819E-1,1.911758852E-1,2.446293263E-1
7.732394583E-1,-1.885741666E-2,1.477356045E-1,2.279303133E-1,2.722749323E-1
7.832114583E-1,-5.047828183E-2,1.580693156E-1,2.439674717E-1,2.950493056E-1
7.931834583E-1,-5.865458965E-2,1.498840908E-1,2.733526540E-1,3.172180244E-1
8.031554583E-1,-2.682731777E-2,1.513971309E-1,3.106713384E-1,3.466373851E-1
8.131274583E-1,2.850225270E-2,1.586981837E-1,3.786352801E-1,4.115363499E-1
8.230994583E-1,2.821530059E-2,1.367572378E-1,4.313192779E-1,4.533596417E-1
8.330714583E-1,3.870944470E-2,1.301145816E-1,4.665393966E-1,4.858880880E-1
8.430434583E-1,3.241374761E-2,1.346477086E-1,4.868783516E-1,5.061928345E-1
8.530154583E-1,1.677142248E-2,1.579080056E-1,4.789951354E-1,5.046311114E-1
